epoch,timestamp,open,high,low,close,volume,usd_volume,trades
1609711200,2021-01-03 22:00:00,40.825,41.084,40.503,40.771,142450.19,5813332.66210,11741
1609714800,2021-01-03 23:00:00,40.766,41.830,40.725,41.300,303278.23,12537521.79868,22494
1609718400,2021-01-04 00:00:00,41.301,42.175,41.301,41.864,342557.83,14322604.53275,25238
1609722000,2021-01-04 01:00:00,41.866,42.307,41.571,41.650,174270.21,7295341.63579,16195
1609725600,2021-01-04 02:00:00,41.642,41.795,41.326,41.412,129644.58,5384847.89846,14753
1609729200,2021-01-04 03:00:00,41.414,41.856,41.342,41.463,130711.37,5435354.88012,11034
1609732800,2021-01-04 04:00:00,41.468,41.990,41.223,41.903,145133.19,6038331.37969,13143
1609736400,2021-01-04 05:00:00,41.897,42.300,41.491,42.080,220229.36,9237002.97042,17704
1609740000,2021-01-04 06:00:00,42.085,43.646,42.000,42.264,507243.79,21732504.63913,37929
1609743600,2021-01-04 07:00:00,42.262,42.716,40.500,40.976,838460.01,34603054.10449,51643
1609747200,2021-01-04 08:00:00,40.925,41.488,40.450,41.024,486036.34,19924005.20505,36010
1609750800,2021-01-04 09:00:00,41.025,41.133,39.251,40.511,706723.21,28477134.80457,50117
1609754400,2021-01-04 10:00:00,40.525,40.621,38.696,39.455,667194.68,26262401.24845,52486
1609758000,2021-01-04 11:00:00,39.455,39.533,38.011,39.094,341808.43,13230091.73335,29616
1609761600,2021-01-04 12:00:00,39.100,40.204,38.882,40.080,237897.49,9397117.44270,18996
1609765200,2021-01-04 13:00:00,40.079,40.090,39.100,39.462,193433.76,7636603.95919,16889
1609768800,2021-01-04 14:00:00,39.455,39.974,39.261,39.945,148818.37,5901560.74093,11987
1609772400,2021-01-04 15:00:00,39.944,40.294,39.727,39.930,180657.42,7228995.91907,14732
1609776000,2021-01-04 16:00:00,39.940,40.115,39.001,39.402,211457.07,8341446.41717,19419
1609779600,2021-01-04 17:00:00,39.414,39.637,38.893,39.562,146082.27,5736385.27034,14261
1609783200,2021-01-04 18:00:00,39.564,40.108,39.530,39.862,171639.36,6829614.69666,15588
1609786800,2021-01-04 19:00:00,39.868,40.170,39.607,39.995,121295.14,4843765.24166,11103
1609790400,2021-01-04 20:00:00,39.994,40.084,39.617,39.659,80320.83,3203709.75962,8759
1609794000,2021-01-04 21:00:00,39.670,40.121,39.338,40.071,135824.44,5390115.60544,14072
1609797600,2021-01-04 22:00:00,40.070,40.408,39.964,40.211,114532.91,4599203.61626,11904
1609801200,2021-01-04 23:00:00,40.220,41.152,40.014,41.142,171724.91,6951652.64628,16481
1609804800,2021-01-05 00:00:00,41.126,41.230,40.444,40.715,360121.00,14704860.28541,23796
1609808400,2021-01-05 01:00:00,40.727,41.270,40.572,41.256,194423.07,7975340.27289,17345
1609812000,2021-01-05 02:00:00,41.262,41.300,40.608,40.674,154987.71,6338225.04370,12359
1609815600,2021-01-05 03:00:00,40.684,40.887,39.600,39.803,259965.86,10466460.28691,20317
1609819200,2021-01-05 04:00:00,39.805,40.202,39.250,39.493,273155.82,10857774.07933,21034
1609822800,2021-01-05 05:00:00,39.496,39.880,38.844,39.143,197198.03,7767147.61177,18434
1609826400,2021-01-05 06:00:00,39.137,39.836,38.847,39.775,188425.84,7415281.00403,16368
1609830000,2021-01-05 07:00:00,39.777,39.900,39.658,39.676,79235.36,3151051.85195,8619
1609833600,2021-01-05 08:00:00,39.683,40.229,39.678,39.936,141239.56,5646137.19691,12704
