epoch,btc_price,volume_binance_futures,volume_hitbtc_derivatives,volume_poloniex_futures,volume_perpetual_protocol,volume_huobi_dm,volume_bitfinex_futures,volume_bitforex_futures,volume_kraken_futures,volume_bitget_futures,volume_okex_swap,volume_mxc_futures,volume_bybit,volume_bingx_futures,volume_kumex,volume_gate_futures,volume_bitmex,volume_deribit,volume_dydx_perpetual,volume_crypto_com_futures,sum,date
1663113600,20184.97,61383.64431329,0.02018497,12.17153691,0.02018497,1927.76555985,81.68857359,3855.5714896400004,148.84396878,6708.59588932,18588.015913479998,6977.197285110001,12640.57505789,8504.02878585,4731.98270207,3316.28964615,815.99759722,760.71096439,1428.0866275,29630.0,161511.20628098,2022-09-14 00:00:00+00:00
1663200000,20255.92,58921.392380159996,0.020255919999999997,9.824121199999999,0.020255919999999997,1805.38989368,85.05460808,3502.3903594399994,168.26592743999998,6976.017312479999,20121.70427408,4534.6522985599995,12009.755223919998,11810.720553999998,4027.3022703199995,2823.1688499999996,690.8889193599999,883.8265573599999,1215.2539204,26902.0,156487.64798232,2022-09-15 00:00:00+00:00
1663286400,19702.17,46507.09049802,0.019702169999999998,8.8659765,0.019702169999999998,1353.3026529599997,63.106050509999996,3377.4444922499997,121.99583663999998,5774.44989879,14701.818360509998,3454.6572964799993,9473.68993365,5419.436497559999,3353.4669513599997,2103.97503213,498.68162486999995,534.7168938,857.00499066,24369.0,121972.74239102998,2022-09-16 00:00:00+00:00
1663372800,19764.41,38369.06418561,0.01976441,5.83050095,0.01976441,965.3728420399999,30.97083047,3161.08020658,91.07440128,4747.095051439999,11260.79236191,2857.49886898,7716.025664,5425.251487359999,2945.9050749099997,1745.88915735,518.79599809,368.17142948000003,679.81664636,23210.0,104098.67423563001,2022-09-17 00:00:00+00:00
1663459200,20131.68,28958.515754400003,0.02013168,5.09331504,0.02013168,754.3340496000001,24.03722592,2928.0119342400003,56.71094256,4433.96225664,8497.21975776,1972.82411328,5894.99880096,3042.03776976,2032.4138860799999,1104.34343808,375.23438352,183.64118496,383.22666048,15165.0,75811.64573664001,2022-09-18 00:00:00+00:00
1663545600,19437.16,59786.1773292,0.01943716,8.902219279999999,0.01943716,1649.94276376,60.721687839999994,3390.94862212,138.91738252000002,7817.70350064,17947.146188720002,5430.198263519999,13182.767841,10187.32655056,4250.98464064,2616.8054136399996,772.4327384,668.09406352,1016.79671392,28354.0,157279.90479360003,2022-09-19 00:00:00+00:00
1663632000,19570.39,52415.55167051,0.01957039,8.00428951,0.01957039,1196.10309602,48.90640461,3581.81191858,126.03331159999999,6386.38579831,14504.35970382,4985.12630392,11035.27323164,6235.30238751,3578.1913964299997,2095.85177627,699.85671679,607.83674301,795.5754942799999,26901.0,135201.20938359003,2022-09-20 00:00:00+00:00
1663718400,18869.93,47870.917847770004,0.01886993,8.39711885,0.01886993,1096.75807146,59.36479978,3426.72267821,121.31477997,5614.9741106599995,12437.661481180001,4366.80372088,9759.99954425,7161.11956507,3061.3064837600004,1911.22199012,492.09003454000003,409.34539149,635.3694130299999,24697.0,123130.40477087998,2022-09-21 00:00:00+00:00
1663804800,18539.64,78552.45468,0.01853964,13.1631444,0.01853964,2055.9533778,115.66881396,3672.57290652,219.65765472,9235.03963536,23290.81208244,9403.60204224,19139.15633868,14011.74080208,4824.79299288,3483.43149924,652.4840901599999,1108.15136208,1549.6358093999997,34396.0,205724.35431123996,2022-09-22 00:00:00+00:00
1663891200,19464.32,60652.26147968,0.01946432,10.413411199999999,0.01946432,1131.38306432,55.22027584,3920.54226304,173.27137664,6517.00469376,16906.29960128,5260.83587392,12087.284327039999,7279.402643840001,3979.49968832,2356.31165056,704.39427648,589.72996736,1011.28820992,27009.0,149644.18173184004,2022-09-23 00:00:00+00:00
