epoch,btc_price,date,volume_binance_futures,volume_hitbtc_derivatives,volume_poloniex_futures,volume_perpetual_protocol,volume_huobi_dm,volume_bitfinex_futures,volume_bitrue_futures,volume_bitforex_futures,volume_kraken_futures,volume_bitget_futures,volume_okex_swap,volume_mxc_futures,volume_bybit,volume_bingx_futures,volume_kumex,volume_gate_futures,volume_bitmex,volume_deribit,volume_dydx_perpetual,volume_crypto_com_futures,sum
1591315200,9776.2,2020-06-05 00:00:00+00:00,3909.1602130000006,0.0,0.0,0.0,5328.4102718,2.3071832000000003,0.0,512.8203472,68.0619044,0.0,3480.6889194,0.0,1303.5487318000003,0.0,66.9083128,31.7628738,2221.7685406000005,295.67139280000004,0.0,0.0,17221.1086908
1591401600,9636.97,2020-06-06 00:00:00+00:00,2782.39561537,0.0,0.0,0.0,4175.55454645,1.6286479299999999,0.0,376.77661608999995,51.36505009999999,0.0,2605.67285951,0.0,769.8011635999999,0.0,63.873837159999994,25.91381233,1599.5924654499997,197.44224136,0.0,0.0,12650.016855349999
1591488000,9662.86,2020-06-07 00:00:00+00:00,1907.7191240800003,0.0,0.0,0.0,3042.8829283,0.59909732,0.0,246.76045582000003,34.12922152,0.0,1535.09991676,0.0,517.6683987800001,0.0,64.49959050000001,19.6156058,1213.06578154,106.31078572000001,0.0,0.0,8688.350906139998
1591574400,9738.6,2020-06-08 00:00:00+00:00,3484.9385328000003,0.0,0.0,0.0,5362.939895400001,1.6653006000000001,0.0,421.0288938,68.2870632,0.0,3333.6104274,0.0,1043.2864794000002,0.0,83.03130360000002,37.8441996,2347.9375056,261.189252,0.0,0.0,16445.758853400002
1591660800,9773.03,2020-06-09 00:00:00+00:00,2381.7265031200004,0.0,0.0,0.0,3626.93757451,1.59300389,0.0,282.93899153,51.41591083000001,0.0,1917.43916691,0.0,700.35487586,0.0,67.02343974,27.18856946,1737.30267795,205.41931757000003,0.0,0.0,10999.340031370002
1591747200,9767.01,2020-06-10 00:00:00+00:00,2224.6318677000004,0.0,0.0,0.0,3331.05829452,1.2697113,0.0,264.33435864,45.94401504,0.0,1696.46126793,0.0,634.3086974400001,0.0,60.33082077,21.6827622,1269.7113,163.08953298,0.0,0.0,9712.82262852
1591833600,9874.9,2020-06-11 00:00:00+00:00,3220.1653904,0.0,0.0,0.0,4787.4107693999995,4.581953599999999,0.0,372.2639802,74.06175,0.0,2771.2129367999996,0.0,1041.1502065999998,0.0,65.05584119999999,37.988740299999996,2349.7620797,310.07186,0.0,0.0,15033.725508199996
1591920000,9326.0,2020-06-12 00:00:00+00:00,4691.72408,0.0,0.0,0.0,6721.658544,5.819424,0.0,571.795712,114.868342,0.0,4542.703926,0.0,1528.643312,0.0,0.0,55.946674,2972.345416,399.367298,0.0,0.0,21604.872728
1592006400,9469.53,2020-06-13 00:00:00+00:00,2311.19030898,0.0,0.0,0.0,3419.0779713300003,3.07759725,0.0,251.2266309,47.32871094000001,0.0,1741.3897498200001,0.0,695.8589425200001,0.0,0.0,21.31591203,1289.48483916,144.60919263,0.0,0.0,9924.55985556
1592092800,9469.47,2020-06-14 00:00:00+00:00,1464.87966165,0.0,0.0,0.0,1867.7393238599998,1.08898905,0.0,171.07544502,16.24014105,0.0,1237.10103027,0.0,446.19195692999995,0.0,0.0,16.543164089999998,951.3313646099999,79.83710156999999,0.0,0.0,6252.028178099999
